image_name,ssim_dlss,psnr_dlss,mse_dlss,ssim_inter_linear,psnr_inter_linear,mse_inter_linear,ssim_inter_nearest,psnr_inter_nearest,mse_inter_nearest,ssim_inter_lanczos,psnr_inter_lanczos,mse_inter_lanczos,ssim_inter_cubic,psnr_inter_cubic,mse_inter_cubic
0,0.48649368240521035,19.739765195932762,690.4048622363683,0.49383855656590897,20.885442327598174,530.3177068865741,0.4876138362008922,19.548521651727885,721.4864774627058,0.47664377539925307,19.792005271387193,682.149921875,0.4889453703113136,20.08986437013233,636.9332540830761
1,0.7356662237481031,24.59391603426315,225.7817097479424,0.7456146434872324,28.59527309697617,89.85723508230453,0.6763596183783868,26.44709215611519,147.35712689686213,0.706264448121314,27.194475784271987,124.06028726208848,0.7157416541240941,27.497031949317833,115.71167116769547
2,0.9852915847375773,30.263185558314646,61.2014631558642,0.9986431614555275,49.69646162568404,0.6973233346193416,0.9133950557631951,31.927896057817517,41.71485661008231,0.9589324961858763,35.91795252771317,16.645050154320987,0.9752939168778348,37.79819675868995,10.79594553755144
3,0.9833750440596644,30.320069509603222,60.40507249871399,0.9836700363047262,36.78828730672094,13.622337319958847,0.9757863991283933,33.08784390187188,31.93713622042181,0.9874315846260313,38.44961449700906,9.29220775462963,0.9875069773053262,38.30925804407711,9.597421231995884
4,0.948224633351277,26.033155715021934,162.093197498714,0.998163581800821,40.15875912669583,6.269089184670782,0.9128984778245135,27.60727445692126,112.81138085133745,0.9548181638575761,31.21032654988623,49.20935876414609,0.9725373461160634,33.10408223670637,31.817945762602882
5,0.7255131009553601,22.952105729277605,329.51090197402266,0.7269433573428733,25.39422139150565,187.7838425925926,0.7153854633409247,23.987563548436803,259.61154755015434,0.7140033405898921,24.399006316470526,236.145529996142,0.720827469005357,24.663419837351665,222.19709522890946
6,0.8800029904259663,26.835413122730625,134.7531880144033,0.8806282205219,31.772963946685643,43.229873649691356,0.8730170566166179,30.405347185591758,59.23053321116255,0.8768479371148145,31.01713266586096,51.44783387988683,0.8812552428053215,31.297839855334036,48.22768052340535
7,0.9916483554761277,30.774269511953385,54.406828382201645,0.9920681201140882,41.072116599861914,5.080058352623457,0.9832835594707467,35.76358801451181,17.247317547582306,0.9941315636063628,43.49264173285698,2.9094854359567903,0.9939963515006018,43.015120687272066,3.2476430684156377
8,0.9978862620282567,31.936442631605765,41.63284577546296,0.9997394821047186,58.71882897942552,0.08733683770576131,0.9949825725129049,39.75756634198573,6.875807773919753,0.9978304401061683,45.348652805950834,1.89764547968107,0.9983428327958197,46.171345541026184,1.5701668595679013
9,0.9299291316567323,26.9768714643956,130.43472125771606,0.9311567845406542,29.197171676327084,78.22817402906378,0.9259692045535661,27.741919088074944,109.36754211676954,0.9281213652134662,28.76713630938098,86.37075778034979,0.9317976347653815,29.017786017696572,81.52705584490741
10,0.9512454446608904,29.021155395399752,81.46382941100823,0.9486390274958034,32.604021128785604,35.700824652777776,0.9442774975563647,31.00170383756388,51.63093348122428,0.9502487364945369,32.09024400692251,40.18425861625514,0.952115155569648,32.34699203294984,37.87748697916667
11,0.8995591034356609,25.137699732580735,199.20965695730453,0.8955313983470407,26.372218131969927,149.91964586548355,0.8897953564386974,24.829322835319722,213.86911747685184,0.9048850648848876,26.263962613230134,153.70362123842594,0.9093487966044024,26.496172154296328,145.70120563271604
